accuracy,activity_confidence,average_dip,average_rake,catalog_id,catalog_name,dip_dir,downthrown_side_dir,downthrown_side_id,epistemic_quality,exposure_quality,fs_name,last_movement,lower_seis_depth,name,net_slip_rate,notes,reference,shortening_rate,slip_type,strike_slip_rate,upper_seis_depth,vert_sep_rate
,,"(35,,)","(90.0,,)",UCF_22,UCERF3,,,,,,,,"(13.0,,)",Mad River (alt1),"(0.74,0.48,0.96)",,,,Reverse,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_28,UCERF3,,,,,,,,"(12.3999996185302,,)",San Jacinto (Superstition Mtn),"(5.12,2.43,7.94)",,,,Dextral,,"(0.0,,)",
,,"(80,,)","(180.0,,)",UCF_30,UCERF3,E,,,,,,,"(12.1999998092651,,)",Hosgri,"(1.42,0.88,2.12)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_31,UCERF3,,,,,,,,"(13.0,,)",San Juan,"(0.42,0.01,1.52)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_32,UCERF3,,,,,,,,"(10.1999998092651,,)",San Andreas (Parkfield),"(30.54,23.16,43.26)",,,,Dextral,,"(0.0,,)",
,,"(60,,)","(-90.0,,)",UCF_34,UCERF3,E,,,,,,,"(9.5,,)",Cedar Mtn-Mahogany Mtn,"(0.38,0.1,0.49)",,,,Normal,,"(0.0,,)",
,,"(60,,)","(-90.0,,)",UCF_37,UCERF3,,,,,,,,"(9.60000038146972,,)",Hat Creek-McArthur-Mayfield,"(0.59,0.37,1.33)",,,,Normal,,"(0.0,,)",
,,"(50,,)","(-90.0,,)",UCF_38,UCERF3,E,,,,,,,"(13.0,,)",Robinson Creek,"(0.54,0.42,0.67)",,,,Normal,,"(0.0,,)",
,,"(50,,)","(-90.0,,)",UCF_42,UCERF3,E,,,,,,,"(13.0,,)",Round Valley,"(0.71,0.46,2.44)",,,,Normal,,"(0.0,,)",
,,"(90,,)","(-135.0,,)",UCF_44,UCERF3,,,,,,,,"(13.0,,)",White Mountains,"(0.59,0.33,0.84)",,,,Dextral-Normal,,"(0.0,,)",
,,"(90,,)","(-150.0,,)",UCF_45,UCERF3,,,,,,,,"(13.0,,)",Death Valley (Fish Lake Valley),"(2.44,1.15,4.23)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_46,UCERF3,,,,,,,,"(13.0,,)",Death Valley (No),"(3.25,1.65,4.7)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_47,UCERF3,,,,,,,,"(12.0,,)",Owl Lake,"(1.67,1.08,2.11)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_48,UCERF3,,,,,,,,"(11.5,,)",Garlock (East),"(2.18,0.55,4.7)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_49,UCERF3,,,,,,,,"(14.6999998092651,,)",Garlock (West),"(3.56,1.14,6.33)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(-150.0,,)",UCF_50,UCERF3,,,,,,,,"(12.3999996185302,,)",Hunter Mountain-Saline Valley,"(2.27,1.36,3.4)",,,,Dextral-Normal,,"(0.0,,)",
,,"(50,,)","(-90.0,,)",UCF_51,UCERF3,W,,,,,,,"(13.0,,)",Deep Springs,"(0.89,0.07,2.44)",,,,Normal,,"(0.0,,)",
,,"(90,,)","(150.0,,)",UCF_53,UCERF3,,,,,,,,"(12.0,,)",Zayante-Vergeles,"(0.12,0.09,0.2)",,,,Reverse,,"(0.0,,)",
,,"(46,,)","(90.0,,)",UCF_58,UCERF3,S,,,,,,,"(13.6000003814697,,)",Pleito,"(1.64,0.89,3.12)",,,,Reverse,,"(0.0,,)",
,,"(50,,)","(-90.0,,)",UCF_63,UCERF3,E,,,,,,,"(13.6000003814697,,)",So Sierra Nevada,"(0.49,0.25,2.28)",,,,Normal,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_64,UCERF3,,,,,,,,"(13.5,,)",Owens Valley,"(2.76,1.4,3.97)",,,,Normal,,"(0.0,,)",
,,"(50,,)","(-90.0,,)",UCF_65,UCERF3,E,,,,,,,"(14.6000003814697,,)",Independence rev 2011,"(0.2,0.01,0.41)",,,,Normal,,"(0.0,,)",
,,"(45,,)","(90.0,,)",UCF_74,UCERF3,SE,,,,,,,"(12.0,,)",Los Osos 2011,"(0.28,0.15,0.38)",,,,Reverse,,"(0.0,,)",
,,"(45,,)","(90.0,,)",UCF_75,UCERF3,NE,,,,,,,"(12.0,,)",San Luis Range (So Margin),"(0.17,0.03,0.27)",,,,Reverse,,"(0.0,,)",
,,"(70,,)","(0.0,,)",UCF_77,UCERF3,S,,,,,,,"(9.19999980926513,,)",Santa Ynez (West),"(1.59,0.83,2.29)",,,,Sinistral,,"(0.0,,)",
,,"(70,,)","(90.0,,)",UCF_78,UCERF3,S,,,,,,,"(7.59999990463256,,)",Mission Ridge-Arroyo Parida-Santa Ana,"(1.08,0.77,1.53)",,,,Reverse,,"(0.0,,)",
,,"(70,,)","(0.0,,)",UCF_79,UCERF3,S,,,,,,,"(13.3000001907348,,)",Santa Ynez (East),"(1.52,0.84,2.12)",,,,Sinistral,,"(0.0,,)",
,,"(42,,)","(90.0,,)",UCF_80,UCERF3,N,,,,,,,"(16.0,,)",San Cayetano,"(2.89,0.14,5.75)",,,,Reverse,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_81,UCERF3,,,,,,,,"(15.5,,)",Cleghorn,"(0.48,0.36,0.64)",,,,Sinistral,,"(0.0,,)",
,,"(49,,)","(90.0,,)",UCF_82,UCERF3,S,,,,,,,"(15.6999998092651,,)",North Frontal  (West),"(0.32,0.09,1.15)",,,,Reverse,,"(0.0,,)",
,,"(41,,)","(90.0,,)",UCF_83,UCERF3,S,,,,,,,"(16.6000003814697,,)",North Frontal  (East),"(0.46,0.08,1.64)",,,,Reverse,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_84,UCERF3,,,,,,,,"(12.8000001907348,,)",Helendale-So Lockhart,"(0.45,0.1,0.81)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_85,UCERF3,,,,,,,,"(13.1999998092651,,)",Lenwood-Lockhart-Old Woman Springs,"(0.86,0.66,0.99)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_86,UCERF3,,,,,,,,"(11.3999996185302,,)",Gravel Hills-Harper Lk,"(0.88,0.59,2.1)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_87,UCERF3,,,,,,,,"(12.1000003814697,,)",Blackwater,"(0.43,0.34,0.49)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_88,UCERF3,,,,,,,,"(13.8999996185302,,)",Calico-Hidalgo,"(1.85,1.15,4.28)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_89,UCERF3,,,,,,,,"(13.1000003814697,,)",Pisgah-Bullion Mtn-Mesquite Lk,"(0.98,0.77,1.12)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_90,UCERF3,,,,,,,,"(14.1000003814697,,)",Emerson-Copper Mtn 2011,"(1.12,0.33,3.29)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_91,UCERF3,,,,,,,,"(15.8999996185302,,)",Johnson Valley (No) 2011 rev,"(0.79,0.3,2.18)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_92,UCERF3,,,,,,,,"(15.1000003814697,,)",Kickapoo,"(0.81,0.51,1.5)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_93,UCERF3,,,,,,,,"(15.5,,)",Pinto Mtn,"(2.11,0.85,4.25)",,,,Sinistral,,"(0.0,,)",
,,"(67,,)","(180.0,,)",UCF_94,UCERF3,E,,,,,,,"(15.8999996185302,,)",Burnt Mtn,"(0.64,0.27,1.64)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_95,UCERF3,,,,,,,,"(15.0,,)",Eureka Peak,"(1.07,0.0,5.47)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_96,UCERF3,,,,,,,,"(11.3999996185302,,)",Elmore Ranch,"(1.6,0.77,5.38)",,,,Sinistral,,"(0.0,,)",
,,"(82,,)","(180.0,,)",UCF_97,UCERF3,NE,,,,,,,"(11.0,,)",Imperial,"(11.89,4.69,18.37)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_98,UCERF3,,,,,,,,"(12.6000003814697,,)",Superstition Hills,"(2.1,0.19,4.34)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_99,UCERF3,,,,,,,,"(13.1000003814697,,)",San Jacinto (Borrego),"(5.03,2.3,8.15)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_101,UCERF3,,,,,,,,"(15.8999996185302,,)",San Jacinto (Coyote Creek),"(5.81,2.06,8.44)",,,,Dextral,,"(0.0,,)",
,,"(84,,)","(180.0,,)",UCF_102,UCERF3,NE,,,,,,,"(18.7999992370605,,)",Elsinore (Julian),"(1.87,0.83,2.72)",,,,Dextral,,"(0.0,,)",
,,"(82,,)","(180.0,,)",UCF_103,UCERF3,NE,,,,,,,"(13.1999998092651,,)",Elsinore (Coyote Mountains),"(1.62,0.84,3.09)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_104,UCERF3,,,,,,,,"(13.3000001907348,,)",Laguna Salada,"(1.82,0.42,2.92)",,,,Normal-Dextral,,"(0.0,,)",
,,"(74,,)","(30.0,,)",UCF_107,UCERF3,N,,,,,,,"(15.8000001907348,,)",San Jose,"(0.33,0.22,0.43)",,,,Sinistral,,"(0.0,,)",
,,"(70,,)","(30.0,,)",UCF_108,UCERF3,N,,,,,,,"(17.2999992370605,,)",Hollywood,"(1.29,0.51,3.34)",,,,Sinistral-Reverse,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_109,UCERF3,,,,,,,,"(13.6000003814697,,)",Palos Verdes,"(2.27,1.34,3.28)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(30.0,,)",UCF_110,UCERF3,,,,,,,,"(8.69999980926513,,)",Santa Rosa Island,"(0.83,0.18,1.74)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(30.0,,)",UCF_111,UCERF3,,,,,,,,"(13.3000001907348,,)",Santa Cruz Island,"(0.85,0.59,2.17)",,,,Reverse,,"(0.0,,)",
,,"(55,,)","(90.0,,)",UCF_112,UCERF3,NE,,,,,,,"(14.5,,)",Verdugo,"(0.55,0.21,1.15)",,,,Reverse-Sinistral,,"(0.0,,)",
,,"(45,,)","(90.0,,)",UCF_113,UCERF3,N,,,,,,,"(13.0,,)",Sierra Madre (San Fernando),"(1.59,0.85,2.17)",,,,Reverse,,"(0.0,,)",
,,"(53,,)","(90.0,,)",UCF_114,UCERF3,N,,,,,,,"(14.1999998092651,,)",Sierra Madre,"(1.47,0.59,2.98)",,,,Reverse,,"(0.0,,)",
,,"(60,,)","(30.0,,)",UCF_115,UCERF3,N,,,,,,,"(12.1000003814697,,)",Simi-Santa Rosa,"(1.1,0.48,2.94)",,,,Sinistral-Reverse,,"(1.0,,)",
,,"(65,,)","(90.0,,)",UCF_116,UCERF3,S,,,,,,,"(19.3999996185302,,)",Oak Ridge (Onshore),"(2.62,0.27,5.29)",,,,Reverse,,"(1.0,,)",
,,"(64,,)","(60.0,,)",UCF_117,UCERF3,N,,,,,,,"(15.0,,)",Ventura-Pitas Point,"(1.47,0.48,2.75)",,,,Reverse-Sinistral,,"(1.0,,)",
,,"(56,,)","(90.0,,)",UCF_118,UCERF3,N,,,,,,,"(14.1000003814697,,)",Red Mountain,"(2.18,0.38,5.77)",,,,Reverse,,"(0.0,,)",
,,"(90,,)","(nan,,)",UCF_119,UCERF3,,,,,,,,"(16.1000003814697,,)",San Jacinto (San Bernardino),"(8.16,2.78,12.0)",,,,,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_121,UCERF3,,,,,,,,"(8.60000038146972,,)",Coronado Bank alt2,"(1.64,0.35,3.26)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_122,UCERF3,,,,,,,,"(10.1999998092651,,)",Newport-Inglewood (Offshore),"(0.99,0.53,1.78)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(-180.0,,)",UCF_123,UCERF3,,,,,,,,"(7.69999980926513,,)",Rose Canyon,"(1.42,0.83,1.89)",,,,Dextral,,"(0.0,,)",
,,"(50,,)","(90.0,,)",UCF_124,UCERF3,N,,,,,,,"(14.0,,)",Clamshell-Sawpit,"(0.28,0.09,0.4)",,,,Reverse,,"(0.0,,)",
,,"(45,,)","(90.0,,)",UCF_125,UCERF3,N,,,,,,,"(13.0,,)",Cucamonga,"(1.74,1.01,5.29)",,,,Reverse,,"(0.0,,)",
,,"(20,,)","(90.0,,)",UCF_129,UCERF3,N,,,,,,,"(12.3000001907348,,)",Channel Islands Thrust,"(1.01,0.47,1.41)",,,,Reverse,,"(5.0,,)",
,,"(35,,)","(90.0,,)",UCF_130,UCERF3,SW,,,,,,,"(16.7999992370605,,)",Northridge,"(1.28,0.79,1.75)",,,,Reverse,,"(7.40000009536743,,)",
,,"(15,,)","(90.0,,)",UCF_131,UCERF3,W,,,,,,,"(9.60000038146972,,)",Great Valley 01,"(0.07,0.01,0.13)",,,,Reverse,,"(7.0,,)",
,,"(20,,)","(90.0,,)",UCF_132,UCERF3,W,,,,,,,"(14.0,,)",Great Valley 03 Mysterious Ridge,"(1.32,0.26,2.03)",,,,Reverse,,"(9.0,,)",
,,"(15,,)","(90.0,,)",UCF_133,UCERF3,W,,,,,,,"(9.60000038146972,,)",Great Valley 02,"(0.11,0.01,0.29)",,,,Reverse,,"(7.0,,)",
,,"(20,,)","(90.0,,)",UCF_134,UCERF3,W,,,,,,,"(14.0,,)",Great Valley 04a Trout Creek,"(1.2,0.25,1.7)",,,,Reverse,,"(9.0,,)",
,,"(90,,)","(90.0,,)",UCF_135,UCERF3,,,,,,,,"(20.0,,)",Great Valley 05 Pittsburg Kirby Hills alt2,"(1.01,0.42,1.47)",,,,Reverse,,"(10.0,,)",
,,"(20,,)","(90.0,,)",UCF_136,UCERF3,W,,,,,,,"(9.60000038146972,,)",Great Valley 07 (Orestimba),"(0.55,0.04,0.89)",,,,Reverse,,"(7.0,,)",
,,"(25,,)","(90.0,,)",UCF_137,UCERF3,W,,,,,,,"(6.0,,)",Great Valley 08 (Quinto),"(0.33,0.04,0.53)",,,,Reverse,,"(0.0,,)",
,,"(15,,)","(90.0,,)",UCF_138,UCERF3,W,,,,,,,"(9.60000038146972,,)",Great Valley 10 (Panoche),"(1.11,0.9,1.59)",,,,Reverse,,"(7.0,,)",
,,"(15,,)","(90.0,,)",UCF_139,UCERF3,W,,,,,,,"(9.60000038146972,,)",Great Valley 11,"(1.52,0.83,2.86)",,,,Reverse,,"(7.0,,)",
,,"(15,,)","(90.0,,)",UCF_140,UCERF3,W,,,,,,,"(9.60000038146972,,)",Great Valley 12,"(0.84,0.12,2.76)",,,,Reverse,,"(7.0,,)",
,,"(22,,)","(90.0,,)",UCF_141,UCERF3,W,,,,,,,"(22.5,,)",Great Valley 14 (Kettleman Hills),"(0.68,0.0,2.04)",,,,Reverse,,"(8.10000038146972,,)",
,,"(15,,)","(90.0,,)",UCF_142,UCERF3,W,,,,,,,"(15.1999998092651,,)",Great Valley 13 (Coalinga),"(1.14,0.46,2.56)",,,,Reverse,,"(9.10000038146972,,)",
,,"(23,,)","(90.0,,)",UCF_143,UCERF3,W,,,,,,,"(12.3999996185302,,)",San Joaquin Hills,"(0.52,0.27,0.63)",,,,Reverse,,"(2.0,,)",
,,"(90,,)","(180.0,,)",UCF_144,UCERF3,,,,,,,,"(13.0,,)",Little Lake,"(0.7,0.47,1.06)",,,,Dextral,,"(0.0,,)",
,,"(50,,)","(-90.0,,)",UCF_145,UCERF3,W,,,,,,,"(8.30000019073486,,)",Tank Canyon,"(0.94,0.76,1.14)",,,,Normal,,"(0.0,,)",
,,"(50,,)","(90.0,,)",UCF_146,UCERF3,N,,,,,,,"(15.0,,)",Elysian Park (Upper),"(1.36,0.72,1.8)",,,,Reverse,,"(3.0,,)",
,,"(25,,)","(90.0,,)",UCF_151,UCERF3,W,,,,,,,"(9.60000038146972,,)",Great Valley 09 (Laguna Seca),"(1.64,1.39,2.16)",,,,Reverse,,"(7.0,,)",
,,"(79,,)","(60.0,,)",UCF_152,UCERF3,N,,,,,,,"(15.6000003814697,,)",Raymond,"(1.25,0.43,2.81)",,,,Sinistral-Reverse,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_155,UCERF3,,,,,,,,"(11.1000003814697,,)",McLean Lake,"(0.43,0.01,1.54)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_156,UCERF3,,,,,,,,"(11.6999998092651,,)",Nelson Lake,"(0.15,0.01,0.52)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_157,UCERF3,,,,,,,,"(12.3000001907348,,)",Coyote Canyon,"(0.77,0.01,3.29)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_158,UCERF3,,,,,,,,"(12.3000001907348,,)",Bicycle Lake,"(0.58,0.01,2.17)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_159,UCERF3,,,,,,,,"(12.6999998092651,,)",Garlic Springs,"(0.51,0.0,2.01)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_160,UCERF3,,,,,,,,"(12.3999996185302,,)",Goldstone Lake,"(0.73,0.01,3.06)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_161,UCERF3,,,,,,,,"(11.6999998092651,,)",Red Pass,"(0.16,0.01,0.57)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_162,UCERF3,,,,,,,,"(13.3999996185302,,)",Paradise,"(0.75,0.33,4.47)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_163,UCERF3,,,,,,,,"(13.3999996185302,,)",Coyote Lake,"(0.69,0.01,2.72)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_164,UCERF3,,,,,,,,"(13.1999998092651,,)",Manix-Afton Hills,"(0.54,0.01,1.99)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_165,UCERF3,,,,,,,,"(13.8999996185302,,)",Cady,"(0.57,0.35,0.93)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_166,UCERF3,,,,,,,,"(11.1000003814697,,)",Ludlow,"(0.41,0.24,1.51)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_167,UCERF3,,,,,,,,"(14.6000003814697,,)",Hector Mine,"(0.75,0.23,2.47)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_168,UCERF3,,,,,,,,"(13.3000001907348,,)",Joshua Tree (Seismicity),"(0.06,0.01,0.21)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(0.0,,)",UCF_169,UCERF3,,,,,,,,"(13.1000003814697,,)",Blue Cut,"(0.59,0.08,1.63)",,,,Sinistral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_170,UCERF3,,,,,,,,"(13.1999998092651,,)",Brawley (Seismic Zone) alt 1,"(21.34,17.53,25.04)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_171,UCERF3,,,,,,,,"(13.1999998092651,,)",Brawley (Seismic Zone) alt 2,"(18.78,13.28,22.49)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_172,UCERF3,,,,,,,,"(14.3000001907348,,)",Cerro Prieto,"(10.84,1.33,21.62)",,,,Dextral,,"(0.0,,)",
,,"(37,,)","(-90.0,,)",UCF_173,UCERF3,W,,,,,,,"(15.3000001907348,,)",Canada David (Detachment),"(0.29,0.14,0.41)",,,,Normal,,"(0.0,,)",
,,"(24,,)","(90.0,,)",UCF_174,UCERF3,NE,,,,,,,"(9.60000038146972,,)",Thirty Mile Bank,"(0.25,0.02,0.38)",,,,Reverse,,"(0.300000011920928,,)",
,,"(23,,)","(90.0,,)",UCF_175,UCERF3,NE,,,,,,,"(8.30000019073486,,)",Oceanside alt2,"(0.33,0.01,1.62)",,,,Reverse,,"(1.0,,)",
,,"(37,,)","(90.0,,)",UCF_176,UCERF3,E,,,,,,,"(7.30000019073486,,)",Carlsbad,"(0.2,0.05,0.26)",,,,Reverse,,"(1.60000002384185,,)",
,,"(90,,)","(180.0,,)",UCF_177,UCERF3,,,,,,,,"(8.30000019073486,,)",San Diego Trough south,"(2.06,1.2,2.7)",,,,Dextral,,"(0.0,,)",
,,"(88,,)","(180.0,,)",UCF_178,UCERF3,,,,,,,,"(9.0,,)",San Clemente,"(1.76,0.31,3.45)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_179,UCERF3,,,,,,,,"(8.30000019073486,,)",San Diego Trough north alt2,"(1.69,1.24,2.21)",,,,,,"(0.0,,)",
,,"(90,,)","(135.0,,)",UCF_180,UCERF3,,,,,,,,"(11.0,,)",Santa Cruz Catalina Ridge alt2,"(1.01,0.6,2.33)",,,,Reverse-Dextral,,"(0.0,,)",
,,"(88,,)","(180.0,,)",UCF_181,UCERF3,NE,,,,,,,"(12.3000001907348,,)",San Pedro Basin,"(1.11,0.49,1.41)",,,,Dextral,,"(0.800000011920929,,)",
,,"(17,,)","(90.0,,)",UCF_183,UCERF3,NE,,,,,,,"(16.0,,)",San Pedro Escarpment,"(0.17,0.0,0.77)",,,,Reverse,,"(1.0,,)",
,,"(20,,)","(90.0,,)",UCF_184,UCERF3,NE,,,,,,,"(15.6000003814697,,)",Compton,"(0.75,0.32,1.13)",,,,Reverse,,"(5.19999980926513,,)",
,,"(20,,)","(90.0,,)",UCF_185,UCERF3,NE,,,,,,,"(18.0,,)",Santa Monica Bay,"(0.08,0.0,0.33)",,,,Reverse,,"(2.29999995231628,,)",
,,"(50,,)","(90.0,,)",UCF_186,UCERF3,N,,,,,,,"(14.0,,)",Peralta Hills,"(0.26,0.03,0.4)",,,,Reverse,,"(0.300000011920928,,)",
,,"(32,,)","(nan,,)",UCF_187,UCERF3,NE,,,,,,,"(8.60000038146972,,)",Morales (West),"(0.06,0.0,0.22)",,,,,,"(0.0,,)",
,,"(32,,)","(90.0,,)",UCF_188,UCERF3,NE,,,,,,,"(8.60000038146972,,)",Morales (East),"(0.1,0.0,0.34)",,,,Reverse,,"(0.0,,)",
,,"(33,,)","(90.0,,)",UCF_189,UCERF3,SW,,,,,,,"(13.8999996185302,,)",South Cuyama,"(0.08,0.0,0.2)",,,,Reverse,,"(0.0,,)",
,,"(73,,)","(60.0,,)",UCF_191,UCERF3,NW,,,,,,,"(14.3000001907348,,)",Big Pine (East),"(0.5,0.25,1.0)",,,,Sinistral-Reverse,,"(0.0,,)",
,,"(76,,)","(90.0,,)",UCF_192,UCERF3,SE,,,,,,,"(6.59999990463256,,)",Big Pine (Central),"(0.41,0.01,1.54)",,,,Reverse,,"(0.0,,)",
,,"(45,,)","(90.0,,)",UCF_193,UCERF3,N,,,,,,,"(16.2999992370605,,)",Pine Mtn,"(0.27,0.0,1.36)",,,,Reverse,,"(0.0,,)",
,,"(60,,)","(90.0,,)",UCF_194,UCERF3,N,,,,,,,"(18.5,,)",San Gorgonio Pass,"(1.18,0.44,2.05)",,,,Reverse,,"(0.0,,)",
,,"(22,,)","(nan,,)",UCF_196,UCERF3,N,,,,,,,"(14.6999998092651,,)",Elysian Park (Lower CFM),"(0.05,0.0,0.13)",,,,,,"(10.0,,)",
,,"(71,,)","(90.0,,)",UCF_197,UCERF3,NE,,,,,,,"(14.1999998092651,,)",Anaheim,"(0.12,0.0,0.16)",,,,Reverse,,"(3.79999995231628,,)",
,,"(66,,)","(90.0,,)",UCF_198,UCERF3,NE,,,,,,,"(17.0,,)",San Vicente,"(0.16,0.0,0.99)",,,,Reverse,,"(1.60000002384185,,)",
,,"(54,,)","(90.0,,)",UCF_199,UCERF3,N,,,,,,,"(16.7000007629394,,)",North Salt Lake,"(0.1,0.0,0.36)",,,,Reverse,,"(0.5,,)",
,,"(50,,)","(90.0,,)",UCF_200,UCERF3,N,,,,,,,"(11.0,,)",Big Pine (West),"(0.04,0.0,0.15)",,,,Reverse,,"(0.0,,)",
,,"(29,,)","(90.0,,)",UCF_201,UCERF3,SW,,,,,,,"(12.0,,)",Lost Hills,"(0.67,0.05,2.18)",,,,Reverse,,"(4.19999980926513,,)",
,,"(29,,)","(90.0,,)",UCF_202,UCERF3,S,,,,,,,"(17.3999996185302,,)",Sisar,"(0.75,0.26,2.37)",,,,Reverse,,"(0.0,,)",
,,"(67,,)","(90.0,,)",UCF_203,UCERF3,N,,,,,,,"(3.09999990463256,,)",Oak Ridge (Offshore) west extension,"(1.84,0.08,3.01)",,,,Reverse,,"(0.0,,)",
,,"(80,,)","(0.0,,)",UCF_204,UCERF3,NW,,,,,,,"(16.2999992370605,,)",Fontana (Seismicity),"(0.28,0.03,0.4)",,,,,,"(0.0,,)",
